,type,price,private_owner,floor_built,floor,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7103,Flat,2700,0,106,1.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Palacio,28005.0,November,Calle de Calatrava,40.4092613,-3.7114163
7104,Flat,1700,0,72,5.0,2,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Sol,28013.0,November,Plaza de Santa Catalina de los Donados,40.41828385,-3.708355921978969
7105,Flat,2750,0,50,2.0,1,1,1,1,0,1,1,1,1,0,0,0,0,Centro,Sol,28013.0,November,Calle de Chinchilla,40.4194566,-3.7038755
7106,Duplex,2400,0,156,1.0,2,2,1,1,1,1,1,1,1,0,1,0,0,Centro,Palacio,28005.0,October,Calle del Nuncio,40.4133839,-3.7093285
7107,Studio,800,1,43,0.0,0,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Palacio,28005.0,October,25,40.40909235,-3.715060195204036
7108,Flat,2100,0,85,1.0,2,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,,October,Calle de Fuencarral,40.4218831,-3.700964216702471
7109,Flat,1400,0,35,2.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,October,Calle de Santa Lucía,40.4258806,-3.7050195
7110,Studio,1600,0,24,1.0,0,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Sol,28013.0,November,Calle de los Jardines,40.418935,-3.7008037
7111,Flat,1800,0,45,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,November,Calle de Tribulete,40.4074898,-3.7031984
7112,Flat,1900,0,40,1.0,2,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Palacio,28005.0,October,Calle Angosta de los Mancebos,40.4125781,-3.7131399
7113,Flat,2500,0,45,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,November,Calle del Salitre,40.4081908,-3.6997132
7114,Flat,1800,0,50,2.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle de San Ildefonso,40.4103178,-3.69604
7115,Flat,1800,0,40,4.0,1,2,1,1,0,0,0,0,1,0,0,0,0,Centro,Palacio,28005.0,November,Calle de los Mancebos,40.4126381,-3.7129711
7116,Flat,1900,0,45,3.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,November,Travesía del Horno de la Mata,40.4207882,-3.7038635
7117,Studio,2000,0,30,2.0,0,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,October,,,
7118,Flat,1800,0,40,1.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,October,Calle de San Ildefonso,40.4103178,-3.69604
7119,Flat,1800,0,40,1.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Sol,28012.0,November,Calle de Barcelona,40.4157539,-3.7025982
7120,Flat,2000,0,45,8.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Palacio,,October,Plaza de España,40.42186895,-3.713090341506608
7121,Flat,1800,0,40,2.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,October,Corredera Baja de San Pablo,40.4218577,-3.7046031
7122,Flat,1800,0,50,1.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,October,,,
7123,Flat,2300,0,70,1.0,2,2,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,October,,,
7124,Flat,2624,0,110,2.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,November,Calle de Piamonte,40.4230941,-3.6952276
7125,Flat,2076,0,65,5.0,2,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Palacio,28005.0,November,Calle de Toledo,40.4099303,-3.7095015
7126,Flat,2500,0,65,7.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Malasaña-Universidad,,October,Farmacia - Calle Gran Vía 56,40.4214644,-3.707499
7127,Flat,2300,0,43,5.0,1,2,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,November,,,
7128,Flat,2615,0,70,5.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Sol,,October,Calle de Esparteros,40.4158793,-3.705172
7129,Flat,2731,0,60,2.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,October,,,
7130,Flat,1800,0,38,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,Centro,Malasaña-Universidad,,November,Calle de la Luna,40.4221425,-3.7057814
7131,Flat,1800,0,60,1.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Huertas-Cortes,28014.0,October,,,
7132,Flat,1200,1,55,4.0,1,1,1,1,0,1,1,1,0,0,0,0,0,Centro,Malasaña-Universidad,28004.0,,5,40.4240892,-3.7054233
7133,Flat,2850,0,75,5.0,1,1,1,1,0,1,1,1,1,0,1,0,0,Centro,Chueca-Justicia,,October,Calle de Fuencarral,40.4242584,-3.7006617
7134,Studio,750,1,47,4.0,0,1,1,1,0,1,1,0,1,0,1,0,0,Centro,Lavapiés-Embajadores,28012.0,,27,40.4095607,-3.6995322
7135,Flat,1800,0,39,4.0,1,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Malasaña-Universidad,28004.0,November,Guess,40.4234807,-3.7007929
7136,Flat,2950,0,210,3.0,2,2,1,1,0,1,1,1,1,0,1,0,0,Centro,Chueca-Justicia,,October,Almirante,40.4225412,-3.6929024
7137,Duplex,3350,0,160,6.0,3,3,1,1,0,1,1,0,1,0,1,0,0,Centro,Chueca-Justicia,28004.0,October,Calle de Argensola,40.4261113,-3.6942911
7138,Flat,3100,0,75,1.0,2,2,1,1,0,1,1,1,1,0,0,0,0,Centro,Malasaña-Universidad,28004.0,September,Corredera Baja de San Pablo,40.4218577,-3.7046031
7139,Flat,800,0,40,2.0,1,1,1,1,0,1,1,0,0,0,0,0,0,Centro,Lavapiés-Embajadores,28012.0,June,Calle de San Ildefonso,40.4103178,-3.69604
7140,Flat,1900,0,40,2.0,1,1,1,1,0,1,1,0,1,0,0,0,0,Centro,Chueca-Justicia,28004.0,October,Calle de Augusto Figueroa,40.4221689,-3.6977371
7141,Flat,2450,0,70,1.0,1,1,1,1,0,1,1,1,1,0,1,0,0,Centro,Palacio,28005.0,November,Calle de Calatrava,40.4092613,-3.7114163
