,floor_built,subdistrict,bathrooms,floor,district,bedrooms,air_conditioning,fitted_wardrobes,garage_included,private_owner,balcony
6491,74,1389.833228409667,1,1,1629.642194242578,1,1,1,1,0,1
5770,127,2821.352634017893,2,2,2432.499556198407,2,1,1,0,0,0
1220,250,2496.3070249563402,3,3,1919.137486048757,3,1,0,0,0,0
4376,213,1533.8078264476776,4,1,1233.6969424440695,5,1,1,1,0,1
4527,100,1107.9035171727414,1,3,1005.9320210441978,3,0,1,0,0,0
7181,56,2210.5592126265187,1,4,1848.1300723995475,1,1,0,0,0,1
7585,55,1605.973354087283,1,7,1848.1300723995475,1,1,1,0,0,0
5527,139,2813.642519715502,2,3,2432.499556198407,2,1,1,0,0,0
1748,120,1603.6327285909183,2,6,2161.0284695868604,3,1,1,0,0,1
535,200,2247.0750811056214,3,4,1924.735143390946,4,0,0,0,0,0
177,80,2565.4046762527896,2,2,1924.735143390946,2,1,1,1,0,0
7096,70,2210.5592126265187,1,3,1848.1300723995475,1,1,1,0,0,1
5375,52,2633.666621779537,1,1,2432.499556198407,2,1,0,0,0,0
6343,93,2458.5696217023665,1,2,1629.642194242578,2,1,1,1,0,0
6135,95,1397.141159781011,2,20,1629.642194242578,2,1,1,1,0,0
5844,150,2813.642519715502,2,3,2432.499556198407,2,1,0,1,1,0
6799,40,2210.5592126265187,1,2,1848.1300723995475,0,1,1,0,0,0
111,79,1397.5029862787426,1,6,1924.735143390946,1,1,1,0,0,0
