,type,price,deposit,private_owner,floor_built,floor_area,floor,year_built,orientation,bedrooms,bathrooms,second_hand,lift,garage_included,furnished,equipped_kitchen,fitted_wardrobes,air_conditioning,terrace,balcony,storeroom,swimming_pool,garden_area,district,subdistrict,postalcode,last_update,Street,latitude,longitude
7507,Flat,1630,1.0,False,50,,1st,,,1,1,True,True,False,True,True,False,False,False,False,False,False,False,Centro,Palacio,28005.0,14 October,,,
7508,Flat,1335,1.0,False,60,,1st,,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,28004.0,14 October,Calle de la Ballesta,40.422211,-3.7033428
7509,Flat,2035,1.0,False,70,,1st,,,2,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,28004.0,14 October,Calle del Molino de Viento,40.4238382,-3.7030487
7510,Flat,1150,2.0,False,53,48.0,4th,1986.0,,2,1,True,True,False,True,True,True,True,False,True,True,False,False,Centro,Lavapiés-Embajadores,28012.0,7 October,Calle de Atocha,40.4120613,-3.6986154
7511,Studio,900,1.0,False,28,,1st,,,0,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Malasaña-Universidad,28004.0,19 October,Calle de la Ballesta,40.422211,-3.7033428
7512,Flat,2200,1.0,False,65,,5th,,,1,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,nan,14 October,Calle de Fuencarral,40.4242584,-3.7006617
7513,Flat,4300,,False,200,,5th,,east,4,3,True,True,True,True,True,True,True,False,True,False,False,False,Centro,Huertas-Cortes,28014.0,7 November,,,
7514,Flat,1500,1.0,False,50,49.0,6th,,,1,1,True,True,False,True,True,True,True,True,False,False,False,False,Centro,Chueca-Justicia,28004.0,7 November,Hostal Génova,40.4263262,-3.6936735
7515,Flat,1850,2.0,False,74,,1st,,west,1,1,True,True,False,True,True,True,True,False,True,True,False,False,Centro,Malasaña-Universidad,28004.0,27 October,Calle del Desengaño,40.4209826,-3.7036787
7516,Flat,2548,1.0,False,70,,2nd,,,1,2,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Chueca-Justicia,28004.0,3 November,Calle de Piamonte,40.4230941,-3.6952276
7517,Flat,1075,2.0,False,80,65.0,1st,1905.0,north,2,1,True,True,False,False,False,True,True,False,True,False,False,False,Centro,Huertas-Cortes,28014.0,3 November,,,
7518,Flat,1600,1.0,False,84,,1st,1986.0,,2,2,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Huertas-Cortes,28012.0,7 November,,,
7519,Flat,1090,1.0,True,27,,ground,,,1,1,True,True,False,True,True,False,False,False,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,30 October,32,40.409214,-3.6989104
7520,Flat,1350,2.0,False,50,48.0,1st,,west,1,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Chueca-Justicia,28004.0,3 November,Calle de San Bartolomé,40.4222956,-3.6982723
7521,Flat,3050,1.0,False,80,,3rd,,,1,1,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Malasaña-Universidad,nan,20 September,Calle de Fuencarral,40.4218831,-3.7009642167024706
7522,Flat,950,1.0,False,25,,1st,,,1,1,True,True,False,False,False,False,True,True,False,False,False,False,Centro,Malasaña-Universidad,nan,19 August,Calle del Pez,40.4237699,-3.7053919
7523,Flat,1400,1.0,True,92,80.0,3rd,,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Sol,28005.0,9 October,Hong Kong 70,40.4137375,-3.7075566
7524,Studio,1500,1.0,False,25,,2nd,,,0,1,True,True,False,True,True,False,True,False,False,False,False,False,Centro,Malasaña-Universidad,28015.0,3 November,Calle de San Hermenegildo,40.428333,-3.7079615
7525,Flat,3150,,False,90,,5th,2022.0,,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Lavapiés-Embajadores,28012.0,7 November,Calle de Atocha,40.4120613,-3.6986154
7526,Flat,1050,1.0,False,47,45.0,5th,,,1,1,True,True,False,True,True,False,True,True,False,False,False,False,Centro,Palacio,nan,4 October,Senado de España,40.4211638,-3.7117889
7527,Studio,1400,1.0,False,30,22.0,3rd,1966.0,west,0,1,True,True,False,True,True,True,True,False,False,False,False,False,Centro,Palacio,28013.0,23 October,Calle de la Escalinata,40.4174971,-3.7093986
7528,Flat,1390,3.0,True,82,74.0,4th,,west,2,2,True,True,False,True,True,True,True,False,True,False,False,False,Centro,Sol,nan,6 November,Adhesión de España a las Comunidades Europeas,40.4149176,-3.7060271
7529,Penthouse,2340,,False,85,,6th,2022.0,,1,1,True,True,False,True,True,True,True,True,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,7 November,Calle de Atocha,40.4120613,-3.6986154
7530,Penthouse,3510,,False,105,,6th,,,2,2,True,True,False,True,True,True,True,True,False,False,False,False,Centro,Lavapiés-Embajadores,28012.0,7 November,Calle de Atocha,40.4120613,-3.6986154
